datetime,tickersymbol,price,quantity
2023-01-03,HPG,19.25,13789423300
2023-01-03,VIC,56.80,429028800
2023-01-03,VNM,78.50,171968400
2023-01-04,HPG,19.40,11096469000
2023-01-04,VIC,56.00,257076400
2023-01-04,VNM,79.30,99121700
2023-01-05,HPG,19.80,10779172200
2023-01-05,VIC,56.20,219816900
2023-01-05,VNM,81.20,427234600
2023-01-06,HPG,19.40,9097514000
2023-01-06,VIC,56.10,190131200
2023-01-06,VNM,79.80,218049000
2023-01-09,HPG,19.60,7371846900
2023-01-09,VIC,55.00,150070800
2023-01-09,VNM,80.70,114797800
2023-01-10,HPG,19.80,13901360200
2023-01-10,VIC,54.50,192557900
2023-01-10,VNM,81.00,91973200
2023-01-11,HPG,20.20,19831546100
2023-01-11,VIC,55.10,127792600
2023-01-11,VNM,79.40,201676400
2023-01-12,HPG,20.05,12274146800
2023-01-12,VIC,55.00,67604100
2023-01-12,VNM,80.00,52508200
2023-01-13,HPG,19.95,9123594700
2023-01-13,VIC,55.00,130558800
2023-01-13,VNM,80.60,269380100
2023-01-16,HPG,20.25,8826387700
2023-01-16,VIC,54.80,95996700
2023-01-16,VNM,79.40,30846000
2023-01-17,HPG,21.65,27595730600
2023-01-17,VIC,55.20,89374100
2023-01-17,VNM,80.90,210963900
2023-01-18,HPG,21.70,14625017100
2023-01-18,VIC,56.70,171387100
2023-01-18,VNM,81.30,109424600
2023-01-19,HPG,21.15,33702808700
2023-01-19,VIC,57.40,582825500
2023-01-19,VNM,81.30,623696200
2023-01-27,HPG,21.50,18716827100
2023-01-27,VIC,59.20,510623300
2023-01-27,VNM,80.00,407257900
2023-01-30,HPG,21.75,37369100400
2023-01-30,VIC,57.70,106500900
2023-01-30,VNM,79.40,154200600
2023-01-31,HPG,22.10,18070281700
2023-01-31,VIC,57.10,255589400
2023-01-31,VNM,77.10,1254567700
