date,ticker,price,avg_daily_volume,ret_1m,fwd_ret_1m,mom_3m,vol_60d
2022-01-28,HPG,42.2,14612903715.789474,,0.11848341232227488,,
2022-01-28,VIC,97.0,698988415.7894737,,-0.20618556701030932,,
2022-01-28,VNM,83.1,500645831.57894737,,-0.056558363417569035,,
2022-02-28,HPG,47.2,18992405068.75,0.11848341232227488,-0.044491525423728806,,0.023936632953208022
2022-02-28,VIC,77.0,2938217987.5,-0.20618556701030932,0.054545454545454675,,0.019159702057270304
2022-02-28,VNM,78.4,433244025.0,-0.056558363417569035,0.03188775510204089,,0.012392949751727384
2022-03-31,HPG,45.1,29097756130.434784,-0.044491525423728806,-0.03991130820399125,,0.022627911072184197
2022-03-31,VIC,81.2,759361804.3478261,0.054545454545454675,-0.014778325123152691,,0.0168186442363983
2022-03-31,VNM,80.9,872005817.3913044,0.03188775510204089,-0.08281829419035847,,0.0152726937874605
2022-04-29,HPG,43.3,12917813825.0,-0.03991130820399125,-0.19861431870669732,,0.021320932249005706
2022-04-29,VIC,80.0,662174860.0,-0.014778325123152691,-0.015000000000000013,,0.016687811035373555
2022-04-29,VNM,74.2,739789285.0,-0.08281829419035847,-0.03369272237196763,,0.014834555947957179
2022-05-31,HPG,34.7,18257379095.0,-0.19861431870669732,-0.35734870317002887,0.026066350710900243,0.022980295617250766
2022-05-31,VIC,78.8,253768160.0,-0.015000000000000013,-0.06725888324873097,-0.17525773195876293,0.011197810269309496
2022-05-31,VNM,71.7,445417005.0,-0.03369272237196763,0.0069735006973501434,-0.10709987966305645,0.020430396700469627
2022-06-30,HPG,22.3,17489071127.272728,-0.35734870317002887,-0.0358744394618834,-0.26483050847457623,0.04240283164564538
2022-06-30,VIC,73.5,144539122.72727272,-0.06725888324873097,-0.12925170068027214,0.023376623376623273,0.01045805741692213
2022-06-30,VNM,72.2,427662909.09090906,0.0069735006973501434,0.008310249307479145,-0.08545918367346939,0.02310110244745417
2022-07-29,HPG,21.5,10619712471.428572,-0.0358744394618834,0.06976744186046502,-0.5055432372505544,0.04191526622420412
2022-07-29,VIC,64.0,87347852.38095239,-0.12925170068027214,-0.004687499999999956,-0.09482758620689657,0.014002385132056165
2022-07-29,VNM,72.8,301891200.0,0.008310249307479145,0.03708791208791218,-0.10754017305315211,0.02300566131133024
2022-08-31,HPG,23.0,26666817000.0,0.06976744186046502,-0.07826086956521738,-0.5034642032332564,0.04089656720054175
2022-08-31,VIC,63.7,213289765.2173913,-0.004687499999999956,-0.13657770800627944,-0.19999999999999996,0.01582298795647596
